id_cliente_hash,QTD_PED_6M,QTD_PED_3M,QTD_PED_1M,APP_6M,MARKETPLACE_6M,TOP3_DEPTOS_6M,TIPO_PAG_MAIS_USADO_6M,C_CUPOM,C_APP,C_TIPO_PAGAMENTO,C_MARKETPLACE,C_DEPTO,F_RECOMPROU,y_pred_ba_1
-3609656434247235584,76.0,41.0,11.0,0.0,1.0,1.0,PAG4,0,0,PAG5,0,OUTROS,1,0.999999999999003
3354916191574227968,58.0,36.0,7.0,1.0,1.0,1.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9999999993559494
851552889074963712,57.0,22.0,2.0,0.0,0.0,0.0,PAG5,1,0,PAG1,0,OUTROS,1,0.9999999989658725
3496286313122908672,51.0,17.0,6.0,1.0,1.0,0.0,PAG4,0,0,PAG4,0,OUTROS,1,0.9999999964463882
1818325763590545152,48.0,42.0,3.0,0.0,0.0,0.0,PAG4,0,0,PAG5,1,TOP_4_6,1,0.9999999610562593
-8092636465296791552,33.0,12.0,4.0,0.0,1.0,1.0,PAG4,0,0,PAG4,0,OUTROS,1,0.9999977045381849
-5402314776576272384,35.0,15.0,9.0,1.0,0.0,0.0,PAG1,0,1,PAG5,0,OUTROS,1,0.9999974896670559
-2578065025606757376,33.0,18.0,2.0,1.0,1.0,1.0,PAG4,0,0,PAG4,1,OUTROS,1,0.9999971796821826
3439920740158851072,32.0,17.0,8.0,0.0,1.0,1.0,PAG4,0,0,PAG4,0,OUTROS,1,0.9999967115448465
-7362787350673790976,32.0,25.0,5.0,1.0,0.0,1.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9999917276757659
1555493290090621184,32.0,11.0,7.0,1.0,0.0,1.0,PAG1,1,0,PAG1,0,OUTROS,1,0.9999917276757659
-8763349243780439040,31.0,17.0,6.0,0.0,1.0,1.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9999894265442498
5612376518990461952,31.0,22.0,7.0,0.0,1.0,0.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9999881491834249
7602822306146397184,30.0,10.0,0.0,0.0,1.0,1.0,PAG1,0,0,PAG5,0,OUTROS,1,0.9999848526295175
-2977510156070961152,30.0,8.0,3.0,0.0,1.0,1.0,PAG5,0,0,PAG1,0,OUTROS,1,0.9999830227113791
8519350489737250816,27.0,15.0,5.0,1.0,1.0,0.0,PAG4,0,1,PAG4,0,OUTROS,1,0.9999801575111653
-274850579835192352,28.0,19.0,11.0,0.0,0.0,1.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9999689132808643
4878957876641560576,28.0,18.0,7.0,0.0,1.0,1.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9999651578346637
7230905281174991872,25.0,12.0,3.0,1.0,1.0,0.0,PAG4,0,1,PAG4,0,OUTROS,1,0.9999592777617418
3298309637961123840,27.0,24.0,7.0,0.0,1.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.999955466038306
1282303305839946496,27.0,10.0,2.0,0.0,0.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.999955466038306
3540379421103093760,27.0,12.0,0.0,0.0,0.0,0.0,PAG5,0,0,PAG5,1,OUTROS,1,0.9999452839024313
-8544782961851248640,26.0,26.0,11.0,0.0,1.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9999362022669969
4020863897606324224,26.0,14.0,4.0,0.0,1.0,1.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9999362022669969
-3863741453778482688,26.0,11.0,4.0,0.0,0.0,0.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9999284954334531
-7637555214517378048,25.0,11.0,9.0,0.0,1.0,1.0,PAG1,0,0,PAG1,1,OUTROS,1,0.9998741478435191
632476722978482944,24.0,14.0,3.0,0.0,0.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9998690755809987
-4167313237695668224,24.0,9.0,2.0,0.0,0.0,1.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9998532609628514
-7990341203590030336,24.0,19.0,3.0,1.0,1.0,1.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9998532609628514
-2889174536654586368,23.0,8.0,5.0,0.0,0.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9998124494504266
1107107747376137728,24.0,11.0,5.0,0.0,1.0,1.0,PAG5,0,0,PAG1,0,TOP_1_3,1,0.9998107360472395
-961190021518526720,23.0,11.0,3.0,0.0,0.0,1.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9997897962885407
161033636248172768,23.0,10.0,4.0,0.0,1.0,0.0,PAG5,0,0,PAG1,0,OUTROS,1,0.9997897962885407
4503155555208975872,22.0,6.0,1.0,0.0,0.0,1.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9997313385284973
-6440684468399984640,22.0,13.0,3.0,0.0,1.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9997313385284973
-3837621562521153536,22.0,10.0,6.0,1.0,1.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9997313385284973
6004001812470679552,20.0,6.0,1.0,0.0,1.0,1.0,PAG4,0,0,PAG4,1,OUTROS,1,0.9996981731705537
8258501232068006912,19.0,7.0,2.0,0.0,0.0,0.0,PAG1,1,0,PAG4,0,OUTROS,1,0.9996480911733935
-5572384080967222272,21.0,11.0,1.0,0.0,0.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9996151626634985
-6243377716852419584,21.0,12.0,5.0,0.0,0.0,1.0,PAG5,1,1,PAG5,0,OUTROS,1,0.9996151626634985
-4110702634697388032,21.0,13.0,0.0,0.0,0.0,0.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9995686906347733
2150743458231634944,18.0,6.0,2.0,0.0,0.0,1.0,PAG5,0,0,PAG4,0,OUTROS,1,0.9994959352434247
-2166621340474946816,20.0,11.0,2.0,0.0,1.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.99944877718053
-1938751838904692480,20.0,10.0,5.0,0.0,1.0,0.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9993822252594182
4005274668505865728,17.0,12.0,3.0,0.0,1.0,1.0,PAG4,0,0,PAG4,0,OUTROS,1,0.9992780386870297
5269105118498731008,17.0,8.0,3.0,0.0,0.0,1.0,PAG4,0,0,PAG4,0,OUTROS,1,0.9992780386870297
985513977127790976,19.0,14.0,7.0,0.0,1.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9992105112909655
3311371166400249856,19.0,10.0,3.0,0.0,0.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9992105112909655
5085891979645592576,19.0,10.0,1.0,1.0,1.0,0.0,PAG5,1,1,PAG5,0,OUTROS,0,0.9992105112909655
5411089311811644416,19.0,19.0,13.0,1.0,1.0,1.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9991152177895881
2095362078232018688,19.0,7.0,1.0,0.0,1.0,1.0,PAG5,0,0,PAG1,0,OUTROS,0,0.9991152177895881
-5944592007106423808,17.0,7.0,1.0,1.0,1.0,1.0,PAG4,0,0,PAG4,0,TOP_4_6,1,0.999024403109488
6559090271629430784,16.0,6.0,0.0,0.0,1.0,0.0,PAG4,0,1,PAG4,0,OUTROS,1,0.9989660474870894
2414549041568453632,18.0,7.0,4.0,0.0,1.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9988693715539608
-4788574018867321856,18.0,5.0,0.0,0.0,1.0,0.0,PAG5,0,0,PAG1,0,OUTROS,1,0.9987329537433496
4659626575703500800,18.0,14.0,10.0,0.0,0.0,0.0,PAG5,0,0,PAG5,1,OUTROS,1,0.9986112123184394
-5342378071740323840,18.0,2.0,1.0,0.0,1.0,0.0,PAG5,0,0,PAG5,1,OUTROS,0,0.9986112123184394
7933113345077823488,15.0,5.0,0.0,0.0,1.0,1.0,PAG4,0,0,PAG4,0,OUTROS,1,0.9985194309456125
7097191353849714688,17.0,8.0,1.0,0.0,0.0,0.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9983810634482465
-58815768244382384,17.0,2.0,0.0,0.0,0.0,1.0,PAG5,0,0,PAG5,0,OUTROS,1,0.9983810634482465
-5584608663789321216,17.0,14.0,10.0,0.0,1.0,0.0,PAG4,0,0,PAG5,0,OUTROS,1,0.9983810634482465
-1557696551898257920,17.0,9.0,2.0,0.0,1.0,0.0,PAG1,0,0,PAG1,0,OUTROS,1,0.9981858350376686
